date,close,date,high,low,open,transaction,turnover
2014-10-31,19.75,2014-10-31,19.9,19.65,19.7,1889,172054280
2014-11-03,19.68,2014-11-03,19.76,19.61,19.75,1434,114736659
2014-11-04,19.72,2014-11-04,19.73,19.6,19.68,1740,158039450
2014-11-05,19.77,2014-11-05,19.78,19.66,19.69,1992,144565229
2014-11-06,19.89,2014-11-06,19.91,19.71,19.77,1943,195451526
2014-11-07,19.86,2014-11-07,19.97,19.84,19.89,1937,225198624
2014-11-10,19.55,2014-11-10,19.78,19.53,19.7,1710,149699975
2014-11-11,19.6,2014-11-11,19.6,19.51,19.52,1018,98014658
2014-11-12,19.84,2014-11-12,19.87,19.61,19.65,905,150571995
2014-11-13,19.74,2014-11-13,19.85,19.73,19.85,457,70045566
2014-11-14,19.76,2014-11-14,19.8,19.69,19.76,545,50213656
2014-11-17,19.88,2014-11-17,19.93,19.63,19.66,621,129418600
2014-11-18,19.94,2014-11-18,20.0,19.77,19.8,543,56166961
2014-11-19,19.76,2014-11-19,19.94,19.7,19.94,998,138924969
2014-11-20,19.5,2014-11-20,19.72,19.46,19.72,2470,328761274
2014-11-21,19.48,2014-11-21,19.53,19.46,19.5,1542,165494750
2014-11-24,19.47,2014-11-24,19.48,19.37,19.48,970,124913840
2014-11-25,19.45,2014-11-25,19.53,19.42,19.52,516,95756020
2014-11-26,19.48,2014-11-26,19.5,19.45,19.5,198,34427250
2014-11-27,19.33,2014-11-27,19.42,19.24,19.42,874,108872555
2014-11-28,19.34,2014-11-28,19.35,19.29,19.32,605,70314450
2014-12-01,19.45,2014-12-01,19.61,19.35,19.58,1002,167597300
2014-12-02,19.62,2014-12-02,19.68,19.49,19.49,1009,148144502
2014-12-03,19.34,2014-12-03,19.6,19.3,19.6,963,185404055
2014-12-04,19.26,2014-12-04,19.29,19.17,19.25,748,216003520
2014-12-05,19.27,2014-12-05,19.33,19.24,19.26,310,36669950
2014-12-08,19.3,2014-12-08,19.34,19.18,19.2,304,47970020
2014-12-09,19.4,2014-12-09,19.44,19.34,19.37,356,37385693
2014-12-10,19.65,2014-12-10,19.67,19.42,19.52,938,110163210
2014-12-11,19.66,2014-12-11,19.77,19.6,19.75,520,74826575
2014-12-12,19.65,2014-12-12,19.68,19.56,19.66,332,42023216
2014-12-15,19.66,2014-12-15,19.83,19.66,19.75,827,163623505
2014-12-16,19.74,2014-12-16,19.74,19.62,19.7,405,111112030
2014-12-17,19.91,2014-12-17,19.97,19.74,19.74,1252,460219430
2014-12-18,19.95,2014-12-18,19.95,19.79,19.83,709,332511360
2014-12-19,19.59,2014-12-19,19.73,19.54,19.66,813,146770580
2014-12-22,19.43,2014-12-22,19.59,19.42,19.59,514,75587900
2014-12-23,19.38,2014-12-23,19.43,19.35,19.38,432,51929570
2014-12-24,19.27,2014-12-24,19.38,19.24,19.38,851,107511210
2014-12-25,19.27,2014-12-25,19.3,19.25,19.25,363,42894980
2014-12-26,19.2,2014-12-26,19.27,19.19,19.27,569,57072350
2014-12-27,19.14,2014-12-27,19.18,19.13,19.17,538,54512470
2014-12-29,18.98,2014-12-29,19.13,18.96,19.12,1109,152328034
2014-12-30,19.06,2014-12-30,19.09,18.93,18.95,530,94925365
2014-12-31,19.05,2014-12-31,19.11,19.01,19.07,367,65099610
2015-01-05,19.12,2015-01-05,19.28,19.08,19.15,551,108153060
2015-01-06,19.53,2015-01-06,19.58,19.31,19.33,1272,198273600
2015-01-07,19.49,2015-01-07,19.56,19.44,19.53,538,120168370
2015-01-08,19.12,2015-01-08,19.33,19.12,19.25,1288,250556150
2015-01-09,19.17,2015-01-09,19.19,18.99,19.0,490,72088280
2015-01-12,19.25,2015-01-12,19.3,19.16,19.27,390,79300010
2015-01-13,19.16,2015-01-13,19.3,19.07,19.25,857,153595270
2015-01-14,19.27,2015-01-14,19.31,19.14,19.19,385,124601670
2015-01-15,19.27,2015-01-15,19.36,19.17,19.18,418,133113691
2015-01-16,19.4,2015-01-16,19.47,19.14,19.14,1069,274113563
2015-01-19,19.31,2015-01-19,19.35,19.12,19.18,805,190829110
2015-01-20,19.12,2015-01-20,19.26,19.11,19.23,980,245754060
2015-01-21,19.03,2015-01-21,19.07,19.0,19.07,1506,308144560
2015-01-22,18.89,2015-01-22,18.99,18.83,18.99,1422,278355370
2015-01-23,18.7,2015-01-23,18.73,18.67,18.7,1641,277822050
2015-01-26,18.71,2015-01-26,18.77,18.69,18.77,689,213662890
2015-01-27,18.6,2015-01-27,18.67,18.55,18.61,951,121289280
2015-01-28,18.59,2015-01-28,18.68,18.58,18.68,928,214363900
2015-01-29,18.75,2015-01-29,18.77,18.64,18.66,1052,158053482
2015-01-30,18.82,2015-01-30,18.82,18.71,18.73,565,127845055
2015-02-02,18.82,2015-02-02,18.89,18.77,18.85,756,104918240
2015-02-03,18.71,2015-02-03,18.81,18.65,18.73,769,161040655
2015-02-04,18.6,2015-02-04,18.61,18.53,18.58,1031,184079220
2015-02-05,18.61,2015-02-05,18.67,18.6,18.6,311,40202604
2015-02-06,18.69,2015-02-06,18.7,18.58,18.6,354,57538420
2015-02-09,18.73,2015-02-09,18.77,18.69,18.75,292,49000110
2015-02-10,18.77,2015-02-10,18.77,18.7,18.75,405,68211600
2015-02-11,18.63,2015-02-11,18.71,18.62,18.7,488,57818255
2015-02-12,18.66,2015-02-12,18.69,18.62,18.63,213,40436230
2015-02-13,18.58,2015-02-13,18.6,18.52,18.6,831,121091414
2015-02-24,18.39,2015-02-24,18.46,18.37,18.46,1508,205867419
2015-02-25,18.28,2015-02-25,18.34,18.28,18.31,1257,148815510
2015-02-26,18.34,2015-02-26,18.38,18.31,18.33,473,46185100
2015-03-02,18.39,2015-03-02,18.4,18.28,18.35,417,68030040
2015-03-03,18.4,2015-03-03,18.47,18.31,18.31,433,31193559
2015-03-04,18.41,2015-03-04,18.49,18.37,18.45,432,40721750
2015-03-05,18.42,2015-03-05,18.52,18.39,18.4,403,51080586
2015-03-06,18.4,2015-03-06,18.49,18.38,18.45,464,54735130
2015-03-09,18.47,2015-03-09,18.53,18.45,18.48,538,74076290
2015-03-10,18.56,2015-03-10,18.6,18.47,18.53,758,91917870
2015-03-11,18.59,2015-03-11,18.71,18.54,18.7,761,100733490
2015-03-12,18.45,2015-03-12,18.6,18.44,18.59,735,90661200
2015-03-13,18.47,2015-03-13,18.47,18.37,18.45,638,93259414
2015-03-16,18.53,2015-03-16,18.53,18.45,18.47,283,37724894
2015-03-17,18.52,2015-03-17,18.52,18.36,18.45,684,109870890
2015-03-18,18.39,2015-03-18,18.5,18.35,18.5,1721,145088920
2015-03-19,18.19,2015-03-19,18.3,18.14,18.3,2342,255436310
2015-03-20,18.18,2015-03-20,18.21,18.15,18.2,437,51718710
2015-03-23,18.18,2015-03-23,18.21,18.15,18.19,428,52340630
2015-03-24,18.24,2015-03-24,18.28,18.16,18.19,350,46257020
2015-03-25,18.28,2015-03-25,18.32,18.23,18.25,459,40608500
2015-03-26,18.42,2015-03-26,18.48,18.38,18.41,831,139956647
2015-03-27,18.56,2015-03-27,18.57,18.41,18.45,844,117669824
2015-03-30,18.54,2015-03-30,18.6,18.52,18.56,554,111547690
2015-03-31,18.48,2015-03-31,18.54,18.44,18.5,564,73578850
2015-04-01,18.61,2015-04-01,18.64,18.57,18.6,717,103548900
2015-04-02,18.41,2015-04-02,18.59,18.4,18.59,1155,175189321
2015-04-07,18.35,2015-04-07,18.41,18.34,18.38,745,119020640
2015-04-08,18.48,2015-04-08,18.51,18.35,18.35,367,57944470
2015-04-09,18.47,2015-04-09,18.51,18.3,18.51,1144,148968872
2015-04-10,18.39,2015-04-10,18.44,18.31,18.36,524,65100710
2015-04-13,18.32,2015-04-13,18.37,18.3,18.32,1172,110103750
2015-04-14,18.35,2015-04-14,18.39,18.31,18.35,466,186276700
2015-04-15,18.53,2015-04-15,18.55,18.35,18.4,1001,186920603
2015-04-16,18.37,2015-04-16,18.5,18.36,18.5,1171,107272988
2015-04-17,18.46,2015-04-17,18.47,18.38,18.4,332,52980150
2015-04-20,18.49,2015-04-20,18.58,18.46,18.52,682,130808911
2015-04-21,18.51,2015-04-21,18.56,18.4,18.46,483,57832060
2015-04-22,18.37,2015-04-22,18.5,18.35,18.5,902,121063560
2015-04-23,17.97,2015-04-23,18.31,17.94,18.31,4255,402721320
2015-04-24,17.83,2015-04-24,17.95,17.69,17.93,2446,261700699
2015-04-27,17.65,2015-04-27,17.77,17.64,17.77,1904,179363850
2015-04-28,17.71,2015-04-28,17.74,17.64,17.65,659,68686503
