Date,Value
1997-02-01,-218.00
1997-02-03,643.00
1997-02-11,"-2,014.00"
1997-02-12,71.00
1997-02-13,"1,037.00"
1997-02-14,"1,542.00"
1997-02-15,-735.00
1997-02-17,"1,071.00"
1997-02-18,-62.00
1997-02-19,957.00
1997-02-20,343.00
1997-02-21,716.00
1997-02-22,"1,176.00"
1997-02-24,-168.00
1997-02-25,887.00
1997-02-26,188.00
1997-02-27,-565.00
1997-02-28,771.00
1997-03-01,642.00
1997-03-03,66.00
1997-03-04,35.00
1997-03-05,884.00
1997-03-06,782.00
1997-03-07,"1,290.00"
1997-03-08,-386.00
1997-03-10,894.00
1997-03-11,"1,292.00"
1997-03-12,"1,823.00"
1997-03-13,273.00
1997-03-14,-431.00
1997-03-15,346.00
1997-03-17,"-1,042.00"
1997-03-18,"2,074.00"
1997-03-19,690.00
1997-03-20,"-1,272.00"
1997-03-21,-229.00
1997-03-22,-939.00
1997-03-24,-269.00
1997-03-25,"-2,364.00"
1997-03-26,"2,492.00"
1997-03-27,"1,341.00"
1997-03-28,94.00
1997-03-31,662.00
1997-04-01,115.00
1997-04-02,-132.00
1997-04-03,808.00
1997-04-07,342.00
1997-04-08,"-2,061.00"
1997-04-09,422.00
1997-04-10,"1,230.00"
1997-04-11,"-2,373.00"
1997-04-12,-120.00
1997-04-14,"-1,048.00"
1997-04-15,265.00
1997-04-16,"-1,197.00"
1997-04-17,-619.00
1997-04-18,-654.00
1997-04-19,-966.00
1997-04-21,"1,591.00"
1997-04-22,"1,294.00"
1997-04-23,893.00
1997-04-24,-509.00
1997-04-25,911.00
1997-04-26,-561.00
1997-04-28,913.00
1997-04-29,-970.00
1997-04-30,-740.00
1997-05-02,"-1,775.00"
1997-05-03,"-2,380.00"
1997-05-05,-433.00
1997-05-06,"-1,094.00"
1997-05-07,99.00
1997-05-08,460.00
1997-05-09,271.00
1997-05-10,142.00
1997-05-12,-396.00
1997-05-13,-198.00
1997-05-14,"-1,191.00"
1997-05-15,-387.00
1997-05-16,-331.00
1997-05-17,774.00
