date,close,date,high,low,open,transaction,turnover
2003-06-30,37.08,2003-06-30,37.4,36.92,37.1,2047,367884760
2003-07-01,38.05,2003-07-01,38.1,37.09,37.09,2223,536078350
2003-07-02,38.69,2003-07-02,38.82,38.1,38.17,1906,625636880
2003-07-03,39.0,2003-07-03,40.6,38.81,40.6,2230,661217150
2003-07-04,39.26,2003-07-04,39.26,38.75,39.1,1514,487753800
2003-07-07,41.0,2003-07-07,41.0,39.6,39.6,1978,784967940
2003-07-08,41.19,2003-07-08,42.0,40.7,42.0,2296,575586450
2003-07-09,41.22,2003-07-09,41.3,40.81,41.3,1198,363763270
2003-07-10,40.05,2003-07-10,41.2,40.05,41.2,1491,348382480
2003-07-11,39.91,2003-07-11,39.97,39.3,39.6,1404,277417400
2003-07-14,40.66,2003-07-14,41.0,39.92,39.95,1400,436827930
2003-07-15,40.19,2003-07-15,40.86,40.19,40.7,1101,383346040
2003-07-16,40.85,2003-07-16,40.98,40.24,40.5,957,276893690
2003-07-17,39.8,2003-07-17,40.65,39.8,40.5,1187,399015080
2003-07-18,39.92,2003-07-18,39.98,39.55,39.78,1032,287078070
2003-07-21,39.4,2003-07-21,40.25,39.4,40.0,993,267154330
2003-07-22,39.98,2003-07-22,39.98,39.41,39.41,737,363490990
2003-07-23,40.05,2003-07-23,40.5,40.0,40.3,848,328372300
2003-07-24,41.23,2003-07-24,41.23,40.2,40.2,1279,448189430
2003-07-25,41.23,2003-07-25,41.34,40.85,41.0,931,346491330
2003-07-28,41.58,2003-07-28,41.94,41.57,41.9,966,285426040
2003-07-29,41.02,2003-07-29,41.54,40.83,41.54,864,233010990
2003-07-30,40.6,2003-07-30,41.02,40.55,41.0,869,378924610
2003-07-31,40.87,2003-07-31,41.0,40.44,40.66,965,208233880
2003-08-01,41.6,2003-08-01,41.6,41.05,41.28,844,153340310
2003-08-04,41.4,2003-08-04,41.55,41.21,41.47,344,153495550
2003-08-05,40.5,2003-08-05,41.61,40.5,41.5,659,200981630
2003-08-06,40.23,2003-08-06,40.3,40.06,40.2,663,186678450
2003-08-07,40.7,2003-08-07,40.77,39.97,40.35,736,224384730
2003-08-08,40.18,2003-08-08,40.7,40.18,40.7,492,162440190
2003-08-11,40.1,2003-08-11,40.18,39.68,39.9,488,104578500
2003-08-12,40.55,2003-08-12,40.65,40.34,40.34,429,172402720
2003-08-13,42.45,2003-08-13,42.45,41.0,41.0,1640,521544240
2003-08-14,42.3,2003-08-14,42.55,42.0,42.29,896,486593840
2003-08-15,42.72,2003-08-15,43.5,42.66,42.66,695,374241770
2003-08-18,42.8,2003-08-18,43.1,42.52,43.0,494,183577210
2003-08-19,43.0,2003-08-19,43.6,42.8,43.5,704,271811720
2003-08-20,43.19,2003-08-20,43.28,42.8,42.8,437,181073180
2003-08-21,44.0,2003-08-21,44.0,42.8,43.19,630,152951160
2003-08-22,44.04,2003-08-22,44.59,43.95,44.0,752,276105870
2003-08-25,44.35,2003-08-25,44.39,43.79,44.1,518,217636420
2003-08-26,43.46,2003-08-26,44.25,43.4,44.25,871,372327820
2003-08-27,43.62,2003-08-27,43.97,43.28,43.28,659,277329490
2003-08-28,43.56,2003-08-28,43.95,43.49,43.63,453,207762210
2003-08-29,44.92,2003-08-29,44.92,43.6,43.6,786,338875630
2003-09-01,45.15,2003-09-01,46.4,44.79,46.4,804,283499760
2003-09-02,45.52,2003-09-02,45.52,44.9,45.23,473,97711050
2003-09-03,45.0,2003-09-03,45.9,45.0,45.9,693,196259650
2003-09-04,44.51,2003-09-04,45.1,44.51,45.1,586,137885310
2003-09-05,45.03,2003-09-05,45.25,44.7,45.0,582,175161720
2003-09-08,45.95,2003-09-08,46.0,44.59,44.8,840,237436070
2003-09-09,45.7,2003-09-09,46.59,45.7,46.5,938,364255510
2003-09-10,45.1,2003-09-10,45.6,44.8,45.5,957,221018610
2003-09-12,45.47,2003-09-12,45.47,44.8,45.04,473,123270760
2003-09-15,45.0,2003-09-15,45.45,44.92,45.45,427,132703240
2003-09-16,45.45,2003-09-16,45.49,44.6,44.6,506,102586360
2003-09-17,45.79,2003-09-17,45.99,45.7,45.83,745,254206540
2003-09-18,45.68,2003-09-18,45.8,45.4,45.8,450,66772040
2003-09-19,45.8,2003-09-19,46.0,45.6,45.68,630,316947000
2003-09-22,45.0,2003-09-22,45.5,45.0,45.5,609,267846020
2003-09-23,44.8,2003-09-23,45.0,44.7,44.7,747,308671570
2003-09-24,44.85,2003-09-24,45.0,44.71,44.98,415,162609340
2003-09-25,44.85,2003-09-25,44.9,44.2,44.7,528,286867240
2003-09-26,44.85,2003-09-26,44.9,44.7,44.85,323,134549030
2003-09-29,44.71,2003-09-29,44.81,44.6,44.8,205,50426000
2003-09-30,44.7,2003-09-30,44.9,44.61,44.71,412,214452980
2003-10-01,44.16,2003-10-01,44.51,44.06,44.51,526,183356910
2003-10-02,45.05,2003-10-02,45.4,44.6,44.79,668,299251370
2003-10-03,45.31,2003-10-03,45.41,45.07,45.2,471,221499440
2003-10-06,46.25,2003-10-06,46.34,45.7,45.7,881,408854660
2003-10-07,46.28,2003-10-07,46.4,46.18,46.4,489,367585510
2003-10-08,46.0,2003-10-08,46.38,45.87,46.3,312,83401240
2003-10-09,46.14,2003-10-09,46.2,45.9,46.0,318,272524950
2003-10-13,47.19,2003-10-13,47.19,46.4,46.4,608,405853420
2003-10-14,47.01,2003-10-14,47.52,47.01,47.35,514,314441550
2003-10-15,47.05,2003-10-15,47.3,46.81,47.01,363,255722170
2003-10-16,47.7,2003-10-16,47.75,46.98,47.05,569,508567060
2003-10-17,47.79,2003-10-17,47.87,47.51,47.8,379,221818940
2003-10-20,48.0,2003-10-20,48.1,47.58,47.58,291,145807800
2003-10-21,47.8,2003-10-21,48.25,47.49,48.0,471,188119110
2003-10-22,47.8,2003-10-22,47.86,47.43,47.69,277,115146310
2003-10-23,47.1,2003-10-23,47.38,47.03,47.3,520,324846430
2003-10-24,46.95,2003-10-24,47.2,46.83,47.0,543,322876090
2003-10-27,47.0,2003-10-27,47.15,46.93,46.95,318,81221080
2003-10-28,47.85,2003-10-28,47.89,47.0,47.0,510,298264610
2003-10-29,48.0,2003-10-29,48.6,48.0,48.5,897,654902080
2003-10-30,48.16,2003-10-30,49.0,48.0,48.21,438,247928850
2003-10-31,48.0,2003-10-31,48.27,47.81,48.15,485,1140095920
2003-11-03,48.0,2003-11-03,48.07,47.79,48.0,479,154068730
2003-11-04,48.0,2003-11-04,48.55,48.0,48.25,542,306226800
2003-11-05,48.44,2003-11-05,48.5,48.0,48.0,420,240769250
