date,close,date,high,low,open,transaction,turnover
2006-08-31,26.55,2006-08-31,28.34,26.49,28.3,1769,358810480
2006-09-01,26.62,2006-09-01,26.71,26.55,26.7,848,99632090
2006-09-04,26.99,2006-09-04,27.08,26.67,26.67,743,133549810
2006-09-05,26.92,2006-09-05,27.05,26.88,27.0,502,123066920
2006-09-06,26.6,2006-09-06,26.85,26.42,26.85,597,84674460
2006-09-07,26.75,2006-09-07,26.75,26.38,26.4,479,154096347
2006-09-08,26.87,2006-09-08,26.87,26.61,26.74,380,121613927
2006-09-11,26.93,2006-09-11,27.19,26.61,26.95,532,89268200
2006-09-12,26.75,2006-09-12,26.93,26.58,26.93,417,46568360
2006-09-13,26.62,2006-09-13,26.85,26.58,26.77,254,31108420
2006-09-14,26.28,2006-09-14,26.86,26.1,26.68,619,180042990
2006-09-15,26.59,2006-09-15,26.59,26.2,26.2,189,24732590
2006-09-18,27.6,2006-09-18,27.6,26.9,26.99,726,134631500
2006-09-19,27.67,2006-09-19,27.72,27.45,27.6,557,117476540
2006-09-20,27.64,2006-09-20,27.7,27.43,27.67,348,45297180
2006-09-21,27.71,2006-09-21,27.8,27.46,27.8,299,80830900
2006-09-22,27.73,2006-09-22,27.73,27.5,27.61,255,40643865
2006-09-25,27.91,2006-09-25,27.91,27.4,27.73,361,55450085
2006-09-26,27.83,2006-09-26,28.0,27.81,28.0,259,34343270
2006-09-27,28.09,2006-09-27,28.09,27.85,28.0,333,48447770
2006-09-28,27.87,2006-09-28,28.13,27.76,28.09,467,59514880
2006-09-29,27.96,2006-09-29,28.0,27.79,28.0,367,52779950
2006-10-02,28.27,2006-10-02,28.4,28.1,28.2,255,42103641
2006-10-03,28.3,2006-10-03,28.35,28.2,28.24,178,42121164
2006-10-04,27.95,2006-10-04,28.4,27.91,28.39,325,52690500
2006-10-05,28.34,2006-10-05,28.35,28.06,28.19,418,71705400
2006-10-11,28.48,2006-10-11,28.5,27.11,27.11,469,61526520
2006-10-12,28.48,2006-10-12,28.55,28.4,28.5,349,53999950
2006-10-13,28.85,2006-10-13,28.9,28.5,28.5,379,109811286
2006-10-14,28.94,2006-10-14,28.97,28.83,28.89,308,45925130
2006-10-16,29.04,2006-10-16,29.1,28.94,28.96,537,118861220
2006-10-17,28.77,2006-10-17,29.04,28.75,29.04,311,44480890
2006-10-18,28.59,2006-10-18,28.73,28.48,28.51,453,92709600
2006-10-19,28.6,2006-10-19,28.69,28.55,28.62,277,43980390
2006-10-20,28.85,2006-10-20,28.85,28.6,28.6,240,46439600
2006-10-23,28.72,2006-10-23,28.83,28.6,28.8,229,44711640
2006-10-24,28.82,2006-10-24,28.93,28.8,28.8,271,70527510
2006-10-25,28.76,2006-10-25,28.95,28.76,28.89,317,100460890
2006-10-26,28.81,2006-10-26,28.9,28.76,28.76,211,79244400
2006-10-27,28.6,2006-10-27,28.9,28.6,28.82,337,73997620
2006-10-30,28.34,2006-10-30,28.55,28.23,28.55,294,72939910
2006-10-31,28.37,2006-10-31,28.42,28.3,28.34,131,20575410
2006-11-01,28.43,2006-11-01,28.48,28.35,28.35,149,33148140
2006-11-02,28.6,2006-11-02,28.6,28.32,28.43,202,65373970
2006-11-03,29.1,2006-11-03,29.12,28.63,28.63,354,131420950
2006-11-06,28.99,2006-11-06,29.08,28.61,28.8,403,104665360
2006-11-07,29.14,2006-11-07,29.23,29.11,29.13,200,58482050
2006-11-08,29.18,2006-11-08,29.18,29.1,29.15,135,15858260
2006-11-09,29.07,2006-11-09,29.42,29.0,29.41,234,33770670
2006-11-10,29.1,2006-11-10,29.1,28.81,29.07,142,27263860
2006-11-13,29.08,2006-11-13,29.13,28.95,29.12,134,34699940
2006-11-14,29.28,2006-11-14,29.35,29.08,29.08,221,55556620
2006-11-15,29.4,2006-11-15,29.41,29.2,29.32,244,26944640
2006-11-16,29.5,2006-11-16,29.66,29.45,29.5,236,74204530
2006-11-17,29.6,2006-11-17,29.67,29.57,29.65,102,7644960
2006-11-20,29.68,2006-11-20,29.72,29.6,29.65,106,13176550
2006-11-21,29.85,2006-11-21,29.85,29.68,29.75,191,97168869
2006-11-22,30.09,2006-11-22,30.09,29.8,29.85,130,11690620
2006-11-23,30.29,2006-11-23,30.5,30.0,30.07,284,53227380
2006-11-24,30.71,2006-11-24,30.71,30.25,30.29,252,78850820
2006-11-27,30.98,2006-11-27,30.98,30.74,30.81,359,108916250
2006-11-28,30.89,2006-11-28,30.89,30.7,30.87,251,42736299
2006-11-29,30.8,2006-11-29,31.08,30.7,30.9,320,38323290
2006-11-30,31.24,2006-11-30,31.24,31.03,31.17,210,23360380
2006-12-01,31.45,2006-12-01,31.56,31.3,31.5,351,86674305
2006-12-04,31.62,2006-12-04,31.8,31.4,31.59,211,21015245
2006-12-05,31.3,2006-12-05,31.99,31.14,31.98,399,60699200
2006-12-06,31.77,2006-12-06,31.77,31.11,31.3,333,73732290
2006-12-07,31.63,2006-12-07,31.87,31.51,31.87,141,15620760
2006-12-08,31.5,2006-12-08,31.65,31.45,31.63,234,34720140
2006-12-11,31.51,2006-12-11,31.62,31.36,31.4,152,18790150
2006-12-12,31.28,2006-12-12,31.65,31.0,31.65,356,48703860
2006-12-13,31.2,2006-12-13,31.4,30.6,31.3,336,31269950
2006-12-14,31.29,2006-12-14,31.44,31.06,31.2,204,23115980
2006-12-15,31.46,2006-12-15,31.5,31.37,31.5,186,26131480
2006-12-18,31.69,2006-12-18,31.69,31.46,31.5,321,152673740
2006-12-19,31.69,2006-12-19,31.84,31.65,31.7,242,60909030
2006-12-20,31.92,2006-12-20,31.96,31.69,31.69,304,91935990
2006-12-21,31.76,2006-12-21,31.95,31.62,31.9,301,69250310
2006-12-22,31.85,2006-12-22,31.86,31.7,31.73,156,28878130
2006-12-25,31.9,2006-12-25,31.93,31.7,31.85,163,33048590
2006-12-26,32.43,2006-12-26,32.43,31.9,31.9,294,80098480
2006-12-27,32.62,2006-12-27,32.71,32.5,32.5,450,153901910
2006-12-28,32.57,2006-12-28,32.79,32.33,32.72,262,61354240
2006-12-29,33.0,2006-12-29,33.0,32.34,32.65,236,68917470
2007-01-02,33.15,2007-01-02,33.15,32.7,32.98,330,83528580
2007-01-03,33.15,2007-01-03,33.34,32.91,33.15,310,48448460
2007-01-04,32.99,2007-01-04,33.22,32.97,33.05,383,70258690
2007-01-05,32.66,2007-01-05,33.29,32.5,33.0,336,47536020
2007-01-08,32.3,2007-01-08,32.65,32.21,32.65,321,54156570
2007-01-09,32.53,2007-01-09,32.64,32.2,32.2,227,39857310
2007-01-10,32.18,2007-01-10,32.47,32.16,32.41,270,45035270
2007-01-11,31.63,2007-01-11,32.35,31.55,32.18,329,40022420
2007-01-12,32.0,2007-01-12,32.24,31.63,31.63,294,41906450
2007-01-15,32.35,2007-01-15,32.46,31.5,32.29,225,45573170
2007-01-16,32.35,2007-01-16,32.39,32.25,32.35,103,12774420
2007-01-17,32.26,2007-01-17,32.4,32.11,32.25,147,38077840
2007-01-18,32.75,2007-01-18,32.75,32.26,32.26,294,77772020
2007-01-19,32.7,2007-01-19,32.78,32.6,32.7,209,45806880
2007-01-22,32.7,2007-01-22,32.7,32.42,32.7,108,18065990
2007-01-23,32.6,2007-01-23,32.67,32.5,32.67,75,7919110
2007-01-24,32.8,2007-01-24,32.9,32.68,32.68,149,25680390
2007-01-25,32.7,2007-01-25,32.9,32.0,32.0,199,33361720
2007-01-26,32.51,2007-01-26,32.66,32.45,32.66,111,10379280
2007-01-29,32.21,2007-01-29,32.51,32.1,32.31,117,24301190
2007-01-30,32.15,2007-01-30,32.21,31.95,32.2,140,29728830
2007-01-31,31.72,2007-01-31,32.15,31.6,32.15,221,41292520
2007-02-01,31.89,2007-02-01,32.0,31.85,31.85,118,15175200
2007-02-02,32.16,2007-02-02,32.18,32.0,32.0,95,8595710
2007-02-05,32.15,2007-02-05,32.25,32.1,32.15,77,14401870
2007-02-06,32.44,2007-02-06,32.44,32.19,32.19,108,19717250
2007-02-07,32.31,2007-02-07,32.58,32.31,32.44,76,13530420
2007-02-08,32.24,2007-02-08,32.44,32.05,32.37,102,22799420
2007-02-09,32.35,2007-02-09,32.4,32.18,32.24,92,28147940
2007-02-12,32.2,2007-02-12,32.34,32.05,32.34,93,17291365
2007-02-13,32.25,2007-02-13,32.35,32.1,32.2,75,19764110
2007-02-14,32.5,2007-02-14,32.5,32.2,32.2,110,16502685
2007-02-26,32.93,2007-02-26,32.93,32.7,32.85,239,43269990
2007-02-27,32.88,2007-02-27,33.0,32.76,32.93,135,14587020
2007-03-01,32.17,2007-03-01,32.5,32.01,32.31,308,23865500
2007-03-02,32.28,2007-03-02,32.28,31.95,32.0,230,133273590
2007-03-03,31.84,2007-03-03,32.2,31.8,32.2,219,21564180
2007-03-05,30.59,2007-03-05,31.84,30.2,31.84,566,59900990
2007-03-06,32.73,2007-03-06,32.73,30.15,30.5,329,43750356
2007-03-07,31.1,2007-03-07,31.32,30.91,31.32,412,41628380
2007-03-08,31.4,2007-03-08,31.48,31.12,31.3,116,12348730
2007-03-09,31.5,2007-03-09,31.6,31.4,31.4,134,14154280
2007-03-12,31.66,2007-03-12,31.66,31.5,31.5,111,16035120
2007-03-13,31.78,2007-03-13,31.79,31.66,31.69,115,13426040
2007-03-14,31.42,2007-03-14,31.48,31.22,31.4,179,14910320
2007-03-15,31.85,2007-03-15,31.85,31.55,31.59,181,22222230
